	CB10	CB11	CB12	CB13	CB2	CB3	CB4	CB5	CB6	CB7	CB8	CB9	taxonomy
ASV_118	0	36	0	0	0	0	0	0	161	68	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_119	0	10	0	0	15	0	0	26	22	83	85	15	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
ASV_120	0	0	67	170	0	0	5	11	0	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_121	0	10	0	0	0	0	2	0	111	62	47	8	Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus;
ASV_122	0	0	230	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Megasphaera;
ASV_123	0	0	20	16	0	0	0	0	0	23	154	16	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;
ASV_124	0	0	9	216	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;
ASV_125	66	73	22	0	0	0	0	0	0	4	28	24	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;
ASV_126	0	0	0	0	0	4	0	32	81	60	28	12	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;
ASV_127	0	0	213	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_128	0	0	0	0	0	0	0	0	0	212	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_129	0	0	0	0	0	11	0	123	61	7	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_130	0	198	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006;
ASV_131	0	190	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;A2;
